	PHASE	TYPE	ORIGINAL	ACTUAL	UP	DP	position	position_UP	position_DP	phoneme	phon_prob	error
67	Original	Original	k@sino	k@sino	?	?	1	?	?	k	0.09003	1.81994
68	Original	Original	k@sino	k@sino	?	?	2	?	?	@	0.20378	1.59244
69	Original	Original	k@sino	k@sino	?	?	3	?	?	s	0.00290	1.99420
70	Original	Original	k@sino	k@sino	?	?	4	?	?	i	0.50000	1.00000
71	Original	Original	k@sino	k@sino	?	?	5	?	?	n	1.00000	0.00000
72	Original	Original	k@sino	k@sino	?	?	6	?	?	o	1.00000	0.00000
73	Original	Original	COkl@t	COkl@t	?	?	1	?	?	C	0.00904	1.98192
74	Original	Original	COkl@t	COkl@t	?	?	2	?	?	O	0.02941	1.94118
75	Original	Original	COkl@t	COkl@t	?	?	3	?	?	k	0.40000	1.20000
76	Original	Original	COkl@t	COkl@t	?	?	4	?	?	l	0.33333	1.33333
77	Original	Original	COkl@t	COkl@t	?	?	5	?	?	@	1.00000	0.00000
78	Original	Original	COkl@t	COkl@t	?	?	6	?	?	t	1.00000	0.00000
79	Original	Original	kobOlt	kobOlt	?	?	1	?	?	k	0.09003	1.81994
80	Original	Original	kobOlt	kobOlt	?	?	2	?	?	o	0.04725	1.90549
81	Original	Original	kobOlt	kobOlt	?	?	3	?	?	b	0.01250	1.97500
82	Original	Original	kobOlt	kobOlt	?	?	4	?	?	O	0.50000	1.00000
83	Original	Original	kobOlt	kobOlt	?	?	5	?	?	l	1.00000	0.00000
84	Original	Original	kobOlt	kobOlt	?	?	6	?	?	t	1.00000	0.00000
85	Original	Original	kAstum	kAstum	?	?	1	?	?	k	0.09003	1.81994
86	Original	Original	kAstum	kAstum	?	?	2	?	?	A	0.14914	1.70171
87	Original	Original	kAstum	kAstum	?	?	3	?	?	s	0.00792	1.98416
88	Original	Original	kAstum	kAstum	?	?	4	?	?	t	1.00000	0.00000
89	Original	Original	kAstum	kAstum	?	?	5	?	?	u	1.00000	0.00000
90	Original	Original	kAstum	kAstum	?	?	6	?	?	m	1.00000	0.00000
91	Original	Original	kuskus	kuskus	?	?	1	?	?	k	0.09003	1.81994
92	Original	Original	kuskus	kuskus	?	?	2	?	?	u	0.00827	1.98346
93	Original	Original	kuskus	kuskus	?	?	3	?	?	s	0.03846	1.92308
94	Original	Original	kuskus	kuskus	?	?	4	?	?	k	1.00000	0.00000
95	Original	Original	kuskus	kuskus	?	?	5	?	?	u	1.00000	0.00000
96	Original	Original	kuskus	kuskus	?	?	6	?	?	s	1.00000	0.00000
97	Original	Original	kr@vas	kr@vas	?	?	1	?	?	k	0.09003	1.81994
98	Original	Original	kr@vas	kr@vas	?	?	2	?	?	r	0.11400	1.77200
99	Original	Original	kr@vas	kr@vas	?	?	3	?	?	@	0.01813	1.96373
100	Original	Original	kr@vas	kr@vas	?	?	4	?	?	v	0.28571	1.42857
101	Original	Original	kr@vas	kr@vas	?	?	5	?	?	a	1.00000	0.00000
102	Original	Original	kr@vas	kr@vas	?	?	6	?	?	s	0.50000	1.00000
103	Original	Original	dAlfIn	dAlfIn	?	?	1	?	?	d	0.06169	1.87663
104	Original	Original	dAlfIn	dAlfIn	?	?	2	?	?	A	0.04181	1.91638
105	Original	Original	dAlfIn	dAlfIn	?	?	3	?	?	l	0.12371	1.75258
106	Original	Original	dAlfIn	dAlfIn	?	?	4	?	?	f	0.18182	1.63636
107	Original	Original	dAlfIn	dAlfIn	?	?	5	?	?	I	1.00000	0.00000
108	Original	Original	dAlfIn	dAlfIn	?	?	6	?	?	n	1.00000	0.00000
109	Original	Original	dVnJ@n	dVnJ@n	?	?	1	?	?	d	0.06169	1.87663
110	Original	Original	dVnJ@n	dVnJ@n	?	?	2	?	?	V	0.03448	1.93103
111	Original	Original	dVnJ@n	dVnJ@n	?	?	3	?	?	n	0.06250	1.87500
112	Original	Original	dVnJ@n	dVnJ@n	?	?	4	?	?	J	0.33333	1.33333
113	Original	Original	dVnJ@n	dVnJ@n	?	?	5	?	?	@	1.00000	0.00000
114	Original	Original	dVnJ@n	dVnJ@n	?	?	6	?	?	n	1.00000	0.00000
115	Original	Original	fanfEr	fanfEr	?	?	1	?	?	f	0.04767	1.90465
116	Original	Original	fanfEr	fanfEr	?	?	2	?	?	a	0.05633	1.88734
117	Original	Original	fanfEr	fanfEr	?	?	3	?	?	n	0.19802	1.60396
118	Original	Original	fanfEr	fanfEr	?	?	4	?	?	f	0.05263	1.89474
119	Original	Original	fanfEr	fanfEr	?	?	5	?	?	E	1.00000	0.00000
120	Original	Original	fanfEr	fanfEr	?	?	6	?	?	r	1.00000	0.00000
121	Original	Original	fiasko	fiasko	?	?	1	?	?	f	0.04767	1.90465
122	Original	Original	fiasko	fiasko	?	?	2	?	?	i	0.03793	1.92415
123	Original	Original	fiasko	fiasko	?	?	3	?	?	a	0.01493	1.97015
124	Original	Original	fiasko	fiasko	?	?	4	?	?	s	1.00000	0.00000
125	Original	Original	fiasko	fiasko	?	?	5	?	?	k	1.00000	0.00000
126	Original	Original	fiasko	fiasko	?	?	6	?	?	o	1.00000	0.00000
127	Original	Original	fiEst@	fiEst@	?	?	1	?	?	f	0.04767	1.90465
128	Original	Original	fiEst@	fiEst@	?	?	2	?	?	i	0.03793	1.92415
129	Original	Original	fiEst@	fiEst@	?	?	3	?	?	E	0.01493	1.97015
130	Original	Original	fiEst@	fiEst@	?	?	4	?	?	s	1.00000	0.00000
131	Original	Original	fiEst@	fiEst@	?	?	5	?	?	t	1.00000	0.00000
132	Original	Original	fiEst@	fiEst@	?	?	6	?	?	@	1.00000	0.00000
133	Original	Original	flImzi	flImzi	?	?	1	?	?	f	0.04767	1.90465
134	Original	Original	flImzi	flImzi	?	?	2	?	?	l	0.16174	1.67652
135	Original	Original	flImzi	flImzi	?	?	3	?	?	I	0.08276	1.83448
136	Original	Original	flImzi	flImzi	?	?	4	?	?	m	0.04167	1.91667
137	Original	Original	flImzi	flImzi	?	?	5	?	?	z	1.00000	0.00000
138	Original	Original	flImzi	flImzi	?	?	6	?	?	i	1.00000	0.00000
139	Original	Original	flAtsm	flAtsm	?	?	1	?	?	f	0.04767	1.90465
140	Original	Original	flAtsm	flAtsm	?	?	2	?	?	l	0.16174	1.67652
141	Original	Original	flAtsm	flAtsm	?	?	3	?	?	A	0.03793	1.92414
142	Original	Original	flAtsm	flAtsm	?	?	4	?	?	t	0.09091	1.81818
