52	18.435075	-57.650698	8.022436	273.189824	-510.793742	3.598532	47.732131	0.295432	TRAIN	PRE
53	18.612051	-58.300382	8.082254	274.841203	-518.154009	3.599484	47.369539	0.296042	TRAIN	PRE
54	18.750828	-58.964745	8.122595	276.233734	-525.090678	3.632089	46.892088	0.297872	TRAIN	PRE
55	18.844419	-59.638939	8.145459	277.507929	-531.672600	3.677038	46.376435	0.302007	TRAIN	PRE
56	18.897464	-60.314165	8.159733	278.780998	-537.970479	3.751121	45.869568	0.306267	TRAIN	PRE
57	18.930579	-60.980179	8.162977	280.157118	-544.055756	3.824685	45.425374	0.312258	TRAIN	PRE
58	18.938106	-61.630738	8.172053	281.709016	-550.014000	3.892554	44.954370	0.317657	TRAIN	PRE
59	18.959162	-62.268331	8.185252	283.267530	-555.872166	3.953137	44.558698	0.322187	TRAIN	PRE
60	18.989784	-62.892940	8.191536	284.725366	-561.632654	4.006459	44.243575	0.325755	TRAIN	PRE
61	19.004364	-63.499719	8.187002	286.003397	-567.293937	4.062263	43.936939	0.328413	TRAIN	PRE
62	18.993843	-64.083912	8.171258	287.049879	-572.842389	4.111921	43.614058	0.331043	TRAIN	PRE
63	18.957317	-64.641966	8.146181	287.821045	-578.254886	4.153024	43.261529	0.332947	TRAIN	PRE
64	18.899139	-65.171898	8.113227	288.318404	-583.505847	4.186420	42.885176	0.334048	TRAIN	PRE
65	18.822686	-65.672663	8.073605	288.572900	-588.572638	4.213731	42.489033	0.334523	TRAIN	PRE
66	18.730762	-66.143763	8.028361	288.670918	-593.446047	4.232816	42.076441	0.334605	TRAIN	PRE
67	18.625796	-66.585414	7.978303	288.763589	-598.136750	4.243742	41.650467	0.333986	TRAIN	PRE
68	18.509663	-66.998253	7.929848	288.871185	-602.654477	4.247230	41.213265	0.332684	TRAIN	PRE
69	18.397247	-67.385031	7.877568	289.034070	-607.010185	4.243564	40.788843	0.330794	TRAIN	PRE
70	18.275958	-67.746765	7.826886	289.263269	-611.218276	4.232627	40.353558	0.328357	TRAIN	PRE
71	18.158375	-68.086225	7.772966	289.541945	-615.281863	4.215170	39.954422	0.325368	TRAIN	PRE
72	18.033281	-68.404410	7.718061	289.862352	-619.208423	4.191220	39.548375	0.321874	TRAIN	PRE
73	17.905901	-68.703033	7.670339	290.188480	-622.998903	4.162792	39.138254	0.317877	TRAIN	PRE
74	17.795187	-68.986145	7.620456	290.482969	-626.640583	4.133650	38.791299	0.313610	TRAIN	PRE
75	17.679459	-69.253985	7.566051	290.695897	-630.123617	4.098716	38.441240	0.309504	TRAIN	PRE
76	17.553237	-69.506521	7.507626	290.793768	-633.437716	4.058378	38.069916	0.304962	TRAIN	PRE
77	17.417692	-69.743775	7.445725	290.742230	-636.569688	4.012800	37.679904	0.300016	TRAIN	PRE
78	17.274082	-69.965865	7.380887	290.504932	-639.503163	3.963322	37.273441	0.294680	TRAIN	PRE
79	17.123658	-70.173240	7.313401	290.059618	-642.221140	3.909957	36.852721	0.289006	TRAIN	PRE
80	16.967089	-70.366205	7.243699	289.396660	-644.708004	3.852366	36.419084	0.283016	TRAIN	PRE
81	16.805382	-70.545056	7.172260	288.515851	-646.949980	3.806150	35.975288	0.276724	TRAIN	PRE
82	16.639644	-70.709737	7.099749	287.387337	-648.931641	3.762093	35.524214	0.272365	TRAIN	PRE
