Cycle	PhoneInhib	PhoneSum	PhoneSumPos	LexInhib	LexSum	LexSumPos	PWsum	WPsum	Item	Phase	Form	Critical	Set
1	0.000000	-49.500001	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
2	0.000000	-49.500001	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
3	0.000000	-49.494727	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
4	0.000000	-49.471207	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
5	0.000000	-49.415096	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
6	0.000000	-49.315582	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
7	0.000000	-49.164341	0.043077	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
8	0.099939	-48.979369	0.189763	0.000000	-70.285855	0.000000	0.004103	0.000000	NON	PRE	art^Sa	S	A
9	0.435828	-48.830686	0.364373	0.000000	-70.267941	0.000000	0.017964	0.000000	NON	PRE	art^Sa	S	A
10	0.818750	-48.723603	0.576936	0.000000	-70.234874	0.018483	0.034047	0.000000	NON	PRE	art^Sa	S	A
11	1.294331	-48.665496	0.774007	0.006096	-70.185819	0.064397	0.053859	0.000525	NON	PRE	art^Sa	S	A
12	1.737725	-48.609433	0.944309	0.051479	-70.135004	0.126766	0.072287	0.001770	NON	PRE	art^Sa	S	A
13	2.121907	-48.489774	1.086289	0.182521	-70.110597	0.198417	0.088237	0.003474	NON	PRE	art^Sa	S	A
14	2.442692	-48.230931	1.255122	0.438903	-70.150974	0.281245	0.101547	0.005436	NON	PRE	art^Sa	S	A
15	2.827642	-47.911786	1.641638	0.846722	-70.108355	0.367998	0.444148	0.007713	NON	PRE	art^Sa	S	A
16	3.719143	-47.792458	2.023323	1.417037	-69.268771	0.455577	1.875071	0.010099	NON	PRE	art^Sa	S	A
17	4.600701	-47.814866	2.410286	2.143143	-67.449111	0.831625	3.531254	0.012510	NON	PRE	art^Sa	S	A
18	5.495562	-47.965375	2.688550	3.295413	-64.830345	2.521943	5.305627	0.047677	NON	PRE	art^Sa	S	A
19	6.139137	-48.022740	2.927002	10.541642	-64.960384	3.938501	6.621114	0.237244	NON	PRE	art^Sa	S	A
20	6.691113	-47.968284	3.252218	22.828212	-68.998407	4.323379	7.893880	0.390829	NON	PRE	art^Sa	S	A
21	7.445047	-48.053358	3.547650	29.155445	-73.966163	4.755079	10.012316	0.419282	NON	PRE	art^Sa	S	A
22	8.130466	-48.246286	3.791357	37.765419	-80.571874	5.056258	12.070079	0.455446	NON	PRE	art^Sa	S	A
23	8.696397	-48.502034	3.985246	46.646915	-88.761999	5.308829	13.901171	0.477346	NON	PRE	art^Sa	S	A
24	9.147203	-48.750454	4.114705	57.329668	-98.976343	5.425095	15.415938	0.496941	NON	PRE	art^Sa	S	A
25	9.448933	-48.900397	4.215274	68.716874	-111.301975	5.395221	16.538747	0.500908	NON	PRE	art^Sa	S	A
26	9.683996	-48.897169	4.362594	79.468257	-125.329177	5.248746	17.521310	0.489474	NON	PRE	art^Sa	S	A
27	10.027840	-48.878886	4.642182	89.752293	-140.552043	5.113230	18.903573	0.468236	NON	PRE	art^Sa	S	A
28	10.678834	-49.036721	4.876625	100.737240	-156.749456	5.027889	20.994896	0.451715	NON	PRE	art^Sa	S	A
29	11.225354	-49.309450	5.104906	112.282279	-173.944973	4.965001	22.777349	0.443282	NON	PRE	art^Sa	S	A
30	11.757812	-49.681891	5.219651	122.986669	-191.722087	4.968159	24.468137	0.435349	NON	PRE	art^Sa	S	A
31	12.027085	-50.009655	5.294920	132.954969	-209.893982	4.921913	25.504461	0.432082	NON	PRE	art^Sa	S	A
32	12.204968	-50.212533	5.379807	141.789590	-228.083239	4.861041	26.385096	0.423628	NON	PRE	art^Sa	S	A
33	12.405344	-50.353989	5.516683	150.507276	-246.122725	4.795883	27.495558	0.413281	NON	PRE	art^Sa	S	A
34	12.726498	-50.525151	5.721748	159.505830	-263.912619	4.712352	29.089678	0.404501	NON	PRE	art^Sa	S	A
35	13.206002	-50.809929	5.930650	168.891045	-281.432873	4.608394	31.041949	0.395201	NON	PRE	art^Sa	S	A
36	13.694540	-51.218285	6.076917	178.555863	-298.732533	4.482057	32.973088	0.384753	NON	PRE	art^Sa	S	A
37	14.037893	-51.679675	6.142983	188.261114	-315.906430	4.375814	34.423493	0.372349	NON	PRE	art^Sa	S	A
38	14.195292	-52.076292	6.226514	197.856388	-333.025327	4.310157	35.307997	0.361870	NON	PRE	art^Sa	S	A
39	14.393315	-52.447674	6.389034	207.019369	-349.975903	4.268872	36.101864	0.355131	NON	PRE	art^Sa	S	A
40	14.774685	-52.868973	6.583557	215.998313	-366.640233	4.217635	37.121443	0.351188	NON	PRE	art^Sa	S	A
41	15.230390	-53.352212	6.743290	225.359072	-383.093948	4.156820	38.039926	0.346529	NON	PRE	art^Sa	S	A
42	15.605461	-53.842779	6.878422	235.159117	-399.436760	4.090422	38.742521	0.340963	NON	PRE	art^Sa	S	A
43	15.923531	-54.278942	6.965984	244.996611	-415.659171	4.024974	39.327058	0.334918	NON	PRE	art^Sa	S	A
44	16.131225	-54.561538	7.052814	254.550738	-431.711833	3.962039	39.675233	0.328851	NON	PRE	art^Sa	S	A
45	16.337151	-54.763611	7.273792	263.435965	-447.411913	3.905498	40.121654	0.323309	NON	PRE	art^Sa	S	A
46	16.854232	-55.077983	7.541326	271.365605	-462.383429	3.837109	41.546565	0.318324	NON	PRE	art^Sa	S	A
47	17.479247	-55.560124	7.807278	278.272801	-476.415680	3.758224	43.354346	0.312320	NON	PRE	art^Sa	S	A
48	18.100521	-56.206377	7.946987	284.079608	-489.400793	3.687674	45.200920	0.305424	NON	PRE	art^Sa	S	A
49	18.428837	-56.912437	7.991810	288.750088	-501.417473	3.622020	46.233098	0.299850	NON	PRE	art^Sa	S	A
50	18.536944	-57.596314	8.015360	292.330730	-512.511792	3.565211	46.645891	0.295005	NON	PRE	art^Sa	S	A
51	18.595624	-58.258764	8.049688	294.936771	-522.699858	3.504363	46.706221	0.291095	NON	PRE	art^Sa	S	A
52	18.675276	-58.899218	8.119436	296.750457	-532.015649	3.450038	46.504390	0.286822	NON	PRE	art^Sa	S	A
53	18.837091	-59.546561	8.174590	297.903589	-540.487832	3.397115	46.152236	0.283062	NON	PRE	art^Sa	S	A
54	18.965048	-60.204403	8.211529	298.475132	-548.152639	3.353066	45.698126	0.279288	NON	PRE	art^Sa	S	A
55	19.050746	-60.870707	8.228016	298.589508	-555.053414	3.316456	45.214148	0.275670	NON	PRE	art^Sa	S	A
56	19.088998	-61.536006	8.227020	298.422740	-561.252999	3.300099	44.711556	0.272238	NON	PRE	art^Sa	S	A
57	19.086686	-62.187529	8.217195	298.101596	-566.827006	3.288785	44.195494	0.269387	NON	PRE	art^Sa	S	A
58	19.063893	-62.820535	8.207128	297.701446	-571.855475	3.305390	43.664602	0.266692	NON	PRE	art^Sa	S	A
59	19.040537	-63.434682	8.210287	297.263027	-576.411657	3.345475	43.170198	0.266394	NON	PRE	art^Sa	S	A
60	19.047865	-64.034804	8.207846	296.853320	-580.562589	3.388347	42.811673	0.268098	NON	PRE	art^Sa	S	A
61	19.042202	-64.615560	8.203982	296.467088	-584.390247	3.438796	42.468042	0.269917	NON	PRE	art^Sa	S	A
62	19.033238	-65.175298	8.188116	296.109187	-587.957792	3.489748	42.164710	0.272265	NON	PRE	art^Sa	S	A
63	18.996429	-65.710011	8.162376	295.903061	-591.343240	3.530047	41.827453	0.274523	NON	PRE	art^Sa	S	A
64	18.936712	-66.217668	8.128231	295.720684	-594.589994	3.562845	41.463281	0.275868	NON	PRE	art^Sa	S	A
65	18.857495	-66.697138	8.086882	295.478011	-597.720568	3.585802	41.075959	0.276569	NON	PRE	art^Sa	S	A
66	18.761567	-67.148061	8.039334	295.121127	-600.740552	3.600686	40.668577	0.276441	NON	PRE	art^Sa	S	A
67	18.651255	-67.570473	7.986546	294.624365	-603.648525	3.607781	40.243752	0.275651	NON	PRE	art^Sa	S	A
68	18.528787	-67.964922	7.929317	293.973431	-606.437668	3.607816	39.804616	0.274219	NON	PRE	art^Sa	S	A
69	18.396016	-68.332284	7.868273	293.170434	-609.099174	3.604054	39.353556	0.272218	NON	PRE	art^Sa	S	A
70	18.254393	-68.673681	7.803913	292.230498	-611.624547	3.595715	38.892013	0.269927	NON	PRE	art^Sa	S	A
71	18.105079	-68.990378	7.736639	291.267463	-614.018418	3.582066	38.421157	0.267263	NON	PRE	art^Sa	S	A
72	17.949002	-69.283679	7.666769	290.387877	-616.296914	3.562642	37.941849	0.264137	NON	PRE	art^Sa	S	A
73	17.786904	-69.554904	7.594567	289.656665	-618.481179	3.538525	37.454630	0.260554	NON	PRE	art^Sa	S	A
74	17.619395	-69.805141	7.520395	289.151728	-620.601792	3.510359	36.959882	0.256641	NON	PRE	art^Sa	S	A
75	17.447316	-70.035043	7.448920	288.916929	-622.691768	3.478151	36.459077	0.252442	NON	PRE	art^Sa	S	A
76	17.281493	-70.247042	7.379807	288.972698	-624.779283	3.441928	35.979107	0.247965	NON	PRE	art^Sa	S	A
77	17.121151	-70.443274	7.313911	289.326133	-626.890018	3.401893	35.521096	0.243224	NON	PRE	art^Sa	S	A
78	16.968274	-70.625905	7.251813	289.966498	-629.045525	3.358259	35.084404	0.238242	NON	PRE	art^Sa	S	A
79	16.824205	-70.797054	7.187629	290.863189	-631.263283	3.312228	34.652603	0.233040	NON	PRE	art^Sa	S	A
80	16.675299	-70.957025	7.121632	291.967740	-633.555190	3.264248	34.212655	0.227673	NON	PRE	art^Sa	S	A
81	16.522187	-71.106149	7.054069	293.220147	-635.924615	3.212913	33.765891	0.222173	NON	PRE	art^Sa	S	A
82	16.365440	-71.244784	6.985156	294.554126	-638.366667	3.158459	33.313523	0.216521	NON	PRE	art^Sa	S	A
83	16.205562	-71.373292	6.915092	295.902944	-640.869195	3.103041	32.856662	0.210747	NON	PRE	art^Sa	S	A
84	16.043013	-71.492000	6.844092	297.203250	-643.414150	3.062008	32.396338	0.204987	NON	PRE	art^Sa	S	A
85	15.878294	-71.600445	6.772771	298.344572	-645.972293	3.032661	31.933769	0.201554	NON	PRE	art^Sa	S	A
86	15.712827	-71.698567	6.701591	299.037781	-648.482276	3.005915	31.473225	0.199900	NON	PRE	art^Sa	S	A
87	15.547691	-71.786941	6.630610	299.328226	-650.895231	2.977439	31.017880	0.198337	NON	PRE	art^Sa	S	A
88	15.383016	-71.866141	6.559854	299.293847	-653.177808	2.947657	30.567854	0.196654	NON	PRE	art^Sa	S	A
89	15.218861	-71.936691	6.489349	298.994149	-655.308122	2.919246	30.123099	0.194878	NON	PRE	art^Sa	S	A
90	15.055290	-71.999002	6.419184	298.474188	-657.272530	2.894268	29.683598	0.193221	NON	PRE	art^Sa	S	A
91	14.892506	-72.053410	6.353383	297.756848	-659.062057	2.868396	29.249800	0.191850	NON	PRE	art^Sa	S	A
92	14.739848	-72.101323	6.291264	296.873853	-660.668871	2.841906	28.857091	0.190410	NON	PRE	art^Sa	S	A
93	14.595732	-72.143816	6.228990	295.884228	-662.093584	2.815064	28.500087	0.188923	NON	PRE	art^Sa	S	A
94	14.451256	-72.180998	6.166662	294.836559	-663.345879	2.789888	28.144519	0.187406	NON	PRE	art^Sa	S	A
95	14.306655	-72.212931	6.104430	293.756109	-664.437229	2.765792	27.790601	0.185932	NON	PRE	art^Sa	S	A
96	14.162278	-72.239740	6.049008	292.640382	-665.377454	2.741565	27.439233	0.184484	NON	PRE	art^Sa	S	A
97	14.033699	-72.263085	5.998072	291.489200	-666.167384	2.717267	27.139463	0.183029	NON	PRE	art^Sa	S	A
98	13.915526	-72.284312	5.953828	290.302637	-666.814000	2.693103	26.855551	0.181569	NON	PRE	art^Sa	S	A
99	13.812880	-72.304793	5.911555	289.095555	-667.321717	2.669260	26.626022	0.180114	NON	PRE	art^Sa	S	A
100	13.714807	-72.324744	5.874135	287.916273	-667.704113	2.645792	26.414740	0.178684	NON	PRE	art^Sa	S	A
101	13.627994	-72.345074	5.836043	286.768642	-667.970992	2.622830	26.244575	0.177282	NON	PRE	art^Sa	S	A
102	13.539620	-72.365420	5.797379	285.677450	-668.139128	2.600309	26.070837	0.175924	NON	PRE	art^Sa	S	A
103	13.449919	-72.385441	5.758242	284.618964	-668.220686	2.578180	25.894125	0.174600	NON	PRE	art^Sa	S	A
104	13.359121	-72.404882	5.718706	283.575002	-668.224434	2.556407	25.714994	0.173307	NON	PRE	art^Sa	S	A
105	13.267397	-72.423527	5.678837	282.531658	-668.156625	2.534983	25.533897	0.172041	NON	PRE	art^Sa	S	A
106	13.174901	-72.441189	5.638694	281.478341	-668.021726	2.513898	25.351233	0.170798	NON	PRE	art^Sa	S	A
107	13.081770	-72.457712	5.598330	280.407294	-667.822935	2.493134	25.167358	0.169577	NON	PRE	art^Sa	S	A
108	12.988124	-72.472955	5.557794	279.312718	-667.562529	2.472676	24.982586	0.168376	NON	PRE	art^Sa	S	A
109	12.894082	-72.486779	5.517143	278.190462	-667.242161	2.452512	24.797227	0.167195	NON	PRE	art^Sa	S	A
110	12.799772	-72.499099	5.476412	277.037786	-666.863053	2.432632	24.611636	0.166031	NON	PRE	art^Sa	S	A
111	12.705275	-72.509849	5.435629	275.853120	-666.426205	2.413029	24.426014	0.164885	NON	PRE	art^Sa	S	A
1	0.000000	-49.500001	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	TRAIN	PRE	art^rg	r	A
2	0.000000	-49.500001	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	TRAIN	PRE	art^rg	r	A
3	0.000000	-49.494727	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	TRAIN	PRE	art^rg	r	A
4	0.000000	-49.471207	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	TRAIN	PRE	art^rg	r	A
5	0.000000	-49.415096	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	TRAIN	PRE	art^rg	r	A
6	0.000000	-49.315582	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	TRAIN	PRE	art^rg	r	A
7	0.000000	-49.164341	0.043077	0.000000	-70.289998	0.000000	0.000000	0.000000	TRAIN	PRE	art^rg	r	A
8	0.099939	-48.979369	0.189763	0.000000	-70.285855	0.000000	0.004103	0.000000	TRAIN	PRE	art^rg	r	A
9	0.435828	-48.830686	0.364373	0.000000	-70.267941	0.000000	0.017964	0.000000	TRAIN	PRE	art^rg	r	A
10	0.818750	-48.723603	0.576936	0.000000	-70.234874	0.018483	0.034047	0.000000	TRAIN	PRE	art^rg	r	A
11	1.294331	-48.665496	0.774007	0.006096	-70.185819	0.064397	0.053859	0.000525	TRAIN	PRE	art^rg	r	A
12	1.737725	-48.609433	0.944309	0.051479	-70.135004	0.126766	0.072287	0.001770	TRAIN	PRE	art^rg	r	A
13	2.121907	-48.489774	1.086289	0.182521	-70.110597	0.198417	0.088237	0.003474	TRAIN	PRE	art^rg	r	A
14	2.442692	-48.230931	1.255122	0.438903	-70.150974	0.281245	0.101547	0.005436	TRAIN	PRE	art^rg	r	A
15	2.827642	-47.911786	1.641638	0.846722	-70.108355	0.367998	0.444148	0.007713	TRAIN	PRE	art^rg	r	A
16	3.719143	-47.792458	2.023323	1.417037	-69.268771	0.455577	1.875071	0.010099	TRAIN	PRE	art^rg	r	A
17	4.600701	-47.814866	2.410286	2.143143	-67.449111	0.831625	3.531254	0.012510	TRAIN	PRE	art^rg	r	A
18	5.495562	-47.965375	2.688550	3.295413	-64.830345	2.521943	5.305627	0.047677	TRAIN	PRE	art^rg	r	A
19	6.139137	-48.022740	2.927002	10.541642	-64.960384	3.938501	6.621114	0.237244	TRAIN	PRE	art^rg	r	A
20	6.691113	-47.968284	3.252218	22.828212	-68.998407	4.323379	7.893880	0.390829	TRAIN	PRE	art^rg	r	A
21	7.445047	-48.053358	3.547650	29.155445	-73.966163	4.755079	10.012316	0.419282	TRAIN	PRE	art^rg	r	A
22	8.130466	-48.246286	3.791357	37.765419	-80.571874	5.056258	12.070079	0.455446	TRAIN	PRE	art^rg	r	A
23	8.696397	-48.502034	3.985246	46.646915	-88.761999	5.308829	13.901171	0.477346	TRAIN	PRE	art^rg	r	A
24	9.147203	-48.750454	4.114705	57.329668	-98.976343	5.425095	15.415938	0.496941	TRAIN	PRE	art^rg	r	A
25	9.448933	-48.900397	4.215274	68.716874	-111.301975	5.395221	16.538747	0.500908	TRAIN	PRE	art^rg	r	A
26	9.683996	-48.897169	4.362594	79.468257	-125.329177	5.248746	17.521310	0.489474	TRAIN	PRE	art^rg	r	A
27	10.027840	-48.878886	4.642182	89.752293	-140.552043	5.113230	18.903573	0.468236	TRAIN	PRE	art^rg	r	A
28	10.678834	-49.036721	4.876625	100.737240	-156.749456	5.027889	20.994896	0.451715	TRAIN	PRE	art^rg	r	A
29	11.225354	-49.309450	5.104906	112.282279	-173.944973	4.965001	22.777349	0.443282	TRAIN	PRE	art^rg	r	A
30	11.757812	-49.681891	5.219651	122.986669	-191.722087	4.968159	24.468137	0.435349	TRAIN	PRE	art^rg	r	A
31	12.027085	-50.009655	5.294920	132.954969	-209.893982	4.921913	25.504461	0.432082	TRAIN	PRE	art^rg	r	A
32	12.204968	-50.212533	5.379807	141.789590	-228.083239	4.861041	26.385096	0.423628	TRAIN	PRE	art^rg	r	A
33	12.405344	-50.328426	5.523191	150.507276	-246.122725	4.795883	27.495558	0.413281	TRAIN	PRE	art^rg	r	A
34	12.741596	-50.428092	5.754371	159.505830	-263.900565	4.712604	29.142105	0.404501	TRAIN	PRE	art^rg	r	A
35	13.281686	-50.594346	6.047710	168.936746	-281.378024	4.609004	31.279318	0.395246	TRAIN	PRE	art^rg	r	A
36	13.966121	-50.899908	6.306647	178.756169	-298.544522	4.484970	33.774586	0.384881	TRAIN	PRE	art^rg	r	A
37	14.570866	-51.293435	6.487597	188.808833	-315.495768	4.387551	36.032950	0.372870	TRAIN	PRE	art^rg	r	A
38	14.994798	-51.666343	6.716062	198.905324	-332.331007	4.333021	37.809405	0.363331	TRAIN	PRE	art^rg	r	A
39	15.529065	-52.111686	6.899039	208.834271	-348.895388	4.297642	39.994340	0.357510	TRAIN	PRE	art^rg	r	A
40	15.957897	-52.575451	7.076359	218.336947	-365.182321	4.257348	41.797746	0.354024	TRAIN	PRE	art^rg	r	A
41	16.373691	-53.083040	7.214172	227.245709	-381.063574	4.208533	43.586281	0.349858	TRAIN	PRE	art^rg	r	A
42	16.697906	-53.581489	7.319589	235.648863	-396.513468	4.150115	45.055343	0.344603	TRAIN	PRE	art^rg	r	A
43	16.947037	-54.001519	7.390639	243.432288	-411.501836	4.084408	46.163444	0.338494	TRAIN	PRE	art^rg	r	A
44	17.116423	-54.254420	7.492196	250.528099	-425.984346	4.021220	46.952267	0.331930	TRAIN	PRE	art^rg	r	A
45	17.356517	-54.449181	7.700388	256.857308	-439.842529	3.969804	47.758834	0.325675	TRAIN	PRE	art^rg	r	A
46	17.843933	-54.759932	7.939623	262.710325	-452.944618	3.909252	48.963450	0.320528	TRAIN	PRE	art^rg	r	A
47	18.403296	-55.243746	8.102419	268.484656	-465.354341	3.839661	50.044106	0.314640	TRAIN	PRE	art^rg	r	A
48	18.785246	-55.832404	8.199069	273.904167	-477.155734	3.767499	50.652666	0.308067	TRAIN	PRE	art^rg	r	A
49	19.013666	-56.470853	8.203078	278.586592	-488.348894	3.703806	50.899505	0.301389	TRAIN	PRE	art^rg	r	A
50	19.027083	-57.064084	8.204747	282.290562	-498.913513	3.650569	50.685651	0.295910	TRAIN	PRE	art^rg	r	A
51	19.035001	-57.626158	8.244085	284.967029	-508.782827	3.597159	50.295378	0.291372	TRAIN	PRE	art^rg	r	A
52	19.126275	-58.183794	8.325804	286.756820	-517.907784	3.547894	49.863578	0.286811	TRAIN	PRE	art^rg	r	A
53	19.315865	-58.767504	8.390331	287.834276	-526.274950	3.506477	49.350238	0.282924	TRAIN	PRE	art^rg	r	A
54	19.465569	-59.375818	8.443035	288.256362	-533.891366	3.473807	48.752283	0.279604	TRAIN	PRE	art^rg	r	A
55	19.587841	-60.008506	8.496202	288.140336	-540.773163	3.448679	48.150676	0.276425	TRAIN	PRE	art^rg	r	A
56	19.711189	-60.664048	8.533568	287.688930	-546.940114	3.512188	47.715716	0.273438	TRAIN	PRE	art^rg	r	A
57	19.797877	-61.324028	8.564586	287.416662	-552.517557	3.589500	47.344834	0.278008	TRAIN	PRE	art^rg	r	A
58	19.869839	-61.981721	8.579540	287.756204	-557.705481	3.667264	47.023785	0.283554	TRAIN	PRE	art^rg	r	A
59	19.904532	-62.626852	8.586669	288.603397	-562.678518	3.740888	46.657981	0.288933	TRAIN	PRE	art^rg	r	A
60	19.921072	-63.254365	8.582500	289.737136	-567.547295	3.808046	46.279279	0.293754	TRAIN	PRE	art^rg	r	A
61	19.911400	-63.859231	8.586220	290.961783	-572.368521	3.882263	45.876886	0.297854	TRAIN	PRE	art^rg	r	A
62	19.920030	-64.445124	8.577945	292.098627	-577.137485	3.945172	45.551941	0.302549	TRAIN	PRE	art^rg	r	A
63	19.900831	-65.008107	8.557996	293.025348	-581.842612	3.996498	45.194284	0.306134	TRAIN	PRE	art^rg	r	A
64	19.854551	-65.544990	8.528297	293.679104	-586.453673	4.036533	44.808129	0.308612	TRAIN	PRE	art^rg	r	A
65	19.785649	-66.053723	8.490644	294.030126	-590.931366	4.065962	44.399543	0.310038	TRAIN	PRE	art^rg	r	A
66	19.698294	-66.533388	8.446423	294.077858	-595.235537	4.085648	43.974618	0.310500	TRAIN	PRE	art^rg	r	A
67	19.595700	-66.984029	8.396570	293.841597	-599.330802	4.096490	43.537493	0.310097	TRAIN	PRE	art^rg	r	A
68	19.480041	-67.406171	8.341891	293.351812	-603.189514	4.099334	43.090481	0.308926	TRAIN	PRE	art^rg	r	A
69	19.353187	-67.800622	8.283089	292.643223	-606.792515	4.094924	42.635771	0.307078	TRAIN	PRE	art^rg	r	A
70	19.216767	-68.168557	8.220692	291.750506	-610.128221	4.084415	42.175364	0.304630	TRAIN	PRE	art^rg	r	A
71	19.072004	-68.511228	8.155154	290.723168	-613.194473	4.070329	41.710384	0.301707	TRAIN	PRE	art^rg	r	A
72	18.919957	-68.829817	8.086898	289.640977	-616.006960	4.053443	41.241786	0.298573	TRAIN	PRE	art^rg	r	A
73	18.761602	-69.125538	8.016288	288.515097	-618.582531	4.034052	40.770404	0.295291	TRAIN	PRE	art^rg	r	A
74	18.597788	-69.399542	7.943693	287.357063	-620.937372	4.012253	40.296924	0.291883	TRAIN	PRE	art^rg	r	A
75	18.429367	-69.652760	7.869643	286.155419	-623.084620	3.988153	39.822109	0.288353	TRAIN	PRE	art^rg	r	A
76	18.257573	-69.886477	7.794394	284.901444	-625.035061	3.961909	39.347049	0.284705	TRAIN	PRE	art^rg	r	A
77	18.082993	-70.101801	7.718287	283.591550	-626.798240	3.933694	38.872256	0.280948	TRAIN	PRE	art^rg	r	A
78	17.906426	-70.299824	7.641613	282.224815	-628.382813	3.903688	38.399346	0.277093	TRAIN	PRE	art^rg	r	A
79	17.728542	-70.481677	7.564545	280.805394	-629.797279	3.872076	37.929615	0.273153	TRAIN	PRE	art^rg	r	A
80	17.549743	-70.648433	7.487223	279.339976	-631.050378	3.839030	37.463537	0.269140	TRAIN	PRE	art^rg	r	A
81	17.370357	-70.801089	7.414862	277.834610	-632.150971	3.804705	37.001429	0.265065	TRAIN	PRE	art^rg	r	A
82	17.202480	-70.941822	7.348601	276.294634	-633.104131	3.769242	36.575804	0.260939	TRAIN	PRE	art^rg	r	A
83	17.048754	-71.072812	7.283410	274.724919	-633.912878	3.732756	36.204381	0.256771	TRAIN	PRE	art^rg	r	A
84	16.897510	-71.194890	7.219317	273.127898	-634.585698	3.709398	35.845886	0.252567	TRAIN	PRE	art^rg	r	A
85	16.748815	-71.308085	7.157564	271.486617	-635.127913	3.698822	35.493509	0.249964	TRAIN	PRE	art^rg	r	A
86	16.605548	-71.413116	7.094932	269.763486	-635.536292	3.688236	35.153592	0.248544	TRAIN	PRE	art^rg	r	A
87	16.460241	-71.510166	7.035379	267.955595	-635.809508	3.676452	34.809722	0.247125	TRAIN	PRE	art^rg	r	A
88	16.322079	-71.600431	6.977485	266.073755	-635.943211	3.663486	34.494248	0.245634	TRAIN	PRE	art^rg	r	A
89	16.187765	-71.684659	6.918867	264.130412	-635.936795	3.649333	34.195344	0.244066	TRAIN	PRE	art^rg	r	A
90	16.051772	-71.762936	6.859636	262.138606	-635.794173	3.633966	33.893104	0.242416	TRAIN	PRE	art^rg	r	A
91	15.914355	-71.835374	6.799885	260.112524	-635.520549	3.617336	33.588076	0.240673	TRAIN	PRE	art^rg	r	A
92	15.775732	-71.902096	6.739693	258.067858	-635.122437	3.599814	33.280716	0.238827	TRAIN	PRE	art^rg	r	A
93	15.636088	-71.963161	6.679205	256.022531	-634.607922	3.582807	32.971398	0.236875	TRAIN	PRE	art^rg	r	A
94	15.495755	-72.018694	6.618513	253.997868	-633.986943	3.564426	32.660421	0.234842	TRAIN	PRE	art^rg	r	A
95	15.354950	-72.068892	6.557653	252.018639	-633.271153	3.544929	32.348007	0.232654	TRAIN	PRE	art^rg	r	A
96	15.213754	-72.113935	6.496966	250.237644	-632.490376	3.525055	32.034289	0.230359	TRAIN	PRE	art^rg	r	A
97	15.072961	-72.154083	6.439112	248.699413	-631.677119	3.506871	31.719479	0.228022	TRAIN	PRE	art^rg	r	A
98	14.938740	-72.190419	6.386170	247.432081	-630.864280	3.487230	31.404128	0.225825	TRAIN	PRE	art^rg	r	A
99	14.815913	-72.224166	6.335372	246.469194	-630.084496	3.466009	31.099105	0.223495	TRAIN	PRE	art^rg	r	A
100	14.698063	-72.255856	6.285946	245.830439	-629.370948	3.443082	30.798705	0.221030	TRAIN	PRE	art^rg	r	A
101	14.583393	-72.285684	6.241234	245.522036	-628.753516	3.418433	30.512820	0.218430	TRAIN	PRE	art^rg	r	A
102	14.479662	-72.314648	6.195883	245.562982	-628.258033	3.392198	30.268597	0.215709	TRAIN	PRE	art^rg	r	A
103	14.374449	-72.342493	6.155393	245.993391	-627.918859	3.364187	30.021643	0.212905	TRAIN	PRE	art^rg	r	A
104	14.280511	-72.370229	6.115953	246.746174	-627.752480	3.334687	29.815999	0.210008	TRAIN	PRE	art^rg	r	A
105	14.189010	-72.397968	6.075687	247.829203	-627.778782	3.303873	29.620835	0.207061	TRAIN	PRE	art^rg	r	A
106	14.095594	-72.425408	6.034670	249.171908	-628.008515	3.272472	29.420888	0.204075	TRAIN	PRE	art^rg	r	A
107	14.000434	-72.452279	5.992970	250.682676	-628.439244	3.239683	29.216594	0.201072	TRAIN	PRE	art^rg	r	A
108	13.903691	-72.478342	5.950653	252.288278	-629.059503	3.205525	29.008341	0.198036	TRAIN	PRE	art^rg	r	A
109	13.805514	-72.503362	5.907788	253.914054	-629.849410	3.170062	28.796528	0.194975	TRAIN	PRE	art^rg	r	A
110	13.706068	-72.527173	5.864424	255.497172	-630.783155	3.145166	28.581605	0.191895	TRAIN	PRE	art^rg	r	A
111	13.605464	-72.549159	5.820913	256.908000	-631.821346	3.121484	28.363865	0.190827	TRAIN	PRE	art^rg	r	A
1	0.000000	-49.500001	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	WORD	PRE	art^st	s	A
2	0.000000	-49.500001	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	WORD	PRE	art^st	s	A
